%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1480963611101864385,32,1480963611078005075,/gps,0,1,42.2937761667,-71.2636196667,75.7,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963612102298366,33,1480963612078109979,/gps,0,1,42.2937711667,-71.2636141667,74.8,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963613102543920,34,1480963613079642057,/gps,0,1,42.293764,-71.2636106667,73.6,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963614102768083,35,1480963614075050115,/gps,0,1,42.293763,-71.2636061667,74.1,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963615103046407,36,1480963615076939105,/gps,0,1,42.293763,-71.2636048333,73.5,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963616103401410,37,1480963616076848030,/gps,0,1,42.2937606667,-71.2636001667,73.1,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963617103702856,38,1480963617075165987,/gps,0,1,42.2937563333,-71.2635948333,73.0,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963618103984140,39,1480963618074589967,/gps,0,1,42.2937501667,-71.263592,72.7,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963619104261216,40,1480963619076443910,/gps,0,1,42.2937456667,-71.2635855,72.4,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963620104499795,41,1480963620076066017,/gps,0,1,42.2937388333,-71.2635818333,72.5,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963621104700244,42,1480963621079289913,/gps,0,1,42.2937323333,-71.2635776667,71.8,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963622104912231,43,1480963622080682992,/gps,0,1,42.2937305,-71.2635693333,70.0,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963623105490884,44,1480963623076230049,/gps,0,1,42.2937253333,-71.2635648333,69.3,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963624105993413,45,1480963624078636884,/gps,0,1,42.2937281667,-71.2635516667,67.9,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963625106153272,46,1480963625073851108,/gps,0,1,42.2937243333,-71.2635453333,66.9,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
